{'ugcid': '437212759_1622936858_463', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/05 23:55:04', 'total_inference_time': '27.60', 'success': 0, 'meaningless_inference_time': '1.71', 'smoking_inference_time': '21.12', 'splice_inference_time': '4.58'}
{'ugcid': '630192777_1622938138_2065', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 00:16:00', 'total_inference_time': '18.04', 'success': 0, 'meaningless_inference_time': '2.81', 'smoking_inference_time': '12.43', 'splice_inference_time': '2.65'}
{'ugcid': '265833692_1622938645_475', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 00:26:18', 'total_inference_time': '36.16', 'success': 0, 'meaningless_inference_time': '2.78', 'smoking_inference_time': '26.15', 'splice_inference_time': '7.15'}
{'ugcid': '997227323_1622937502_99', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 00:39:37', 'total_inference_time': '26.40', 'success': 0, 'meaningless_inference_time': '1.98', 'smoking_inference_time': '19.03', 'splice_inference_time': '5.27'}
{'ugcid': '251232869_1622942097_395', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 01:24:55', 'total_inference_time': '24.38', 'success': 0, 'meaningless_inference_time': '1.49', 'smoking_inference_time': '18.54', 'splice_inference_time': '4.17'}
{'ugcid': '655533192_1622942846_906', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 01:35:42', 'total_inference_time': '15.92', 'success': 0, 'meaningless_inference_time': '1.01', 'smoking_inference_time': '11.92', 'splice_inference_time': '2.86'}
{'ugcid': '169225288_1622945263_741', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 02:15:52', 'total_inference_time': '52.54', 'success': 0, 'meaningless_inference_time': '5.92', 'smoking_inference_time': '36.97', 'splice_inference_time': '9.43'}
{'ugcid': '13622594_1622945548_134', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 02:24:47', 'total_inference_time': '20.61', 'success': 0, 'meaningless_inference_time': '9.33', 'smoking_inference_time': '9.15', 'splice_inference_time': '1.93'}
{'ugcid': '621795996_1622947184_167', 'prd_type': '204', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 02:48:41', 'total_inference_time': '40.01', 'success': 0, 'meaningless_inference_time': '3.09', 'smoking_inference_time': '26.38', 'splice_inference_time': '10.21'}
{'ugcid': '1137326516_1622951003_24', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 03:56:08', 'total_inference_time': '34.28', 'success': 0, 'meaningless_inference_time': '1.38', 'smoking_inference_time': '25.68', 'splice_inference_time': '7.12'}
{'ugcid': '169566796_1622953092_592', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 04:24:50', 'total_inference_time': '12.07', 'success': 0, 'meaningless_inference_time': '1.30', 'smoking_inference_time': '8.18', 'splice_inference_time': '2.39'}
{'ugcid': '93815128_1622956644_90', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 05:27:02', 'total_inference_time': '60.93', 'success': 0, 'meaningless_inference_time': '39.22', 'smoking_inference_time': '17.56', 'splice_inference_time': '3.92'}
